FIPS,State,County,HO_Zscore,HO_Rank,HF_Zscore,HF_Rank,Year,Period
27003,Minnesota,Anoka,-0.287262538068193,26,-0.0438465606646058,42,2010,Before
27011,Minnesota,Big Stone,0.774144107662137,74,-0.0621237432180733,40,2010,Before
27037,Minnesota,Dakota,-0.53156405610514,21,-0.762522579269546,2,2010,Before
27053,Minnesota,Hennepin,-0.0575818771449643,42,-0.627484131267956,5,2010,Before
27069,Minnesota,Kittson,0.244827715825047,58,0.250151593841688,69,2010,Before
27077,Minnesota,Lake of the Woods,0.6,70,0.373580951115551,74,2010,Before
27123,Minnesota,Ramsey,0.258543872438188,60,-0.142407536006673,32,2010,Before
27125,Minnesota,Red Lake,0.0901659783948598,49,0.0787022039031817,54,2010,Before
27003,Minnesota,Anoka,-0.223677122,34,-0.063804745,36,2011,Before
27011,Minnesota,Big Stone,-0.11432028,40,-0.182730631,29,2011,Before
27037,Minnesota,Dakota,-0.602546326,17,-0.569913866,6,2011,Before
27053,Minnesota,Hennepin,0.0686857639,48,-0.687944116,5,2011,Before
27069,Minnesota,Kittson,0.2522421926,53,0.0807361478,55,2011,Before
27077,Minnesota,Lake of the Woods,0.5397143041,72,0.3880321823,75,2011,Before
27123,Minnesota,Ramsey,0.3822232109,59,-0.115786204,32,2011,Before
27125,Minnesota,Red Lake,0.0431556231,46,0.1638699309,63,2011,Before
27003,Minnesota,Anoka,-0.232145437,38,0.062355916,51,2012,Before
27011,Minnesota,Big Stone,-0.38505422500000003,30,-0.637754977,6,2012,Before
27037,Minnesota,Dakota,-0.692012061,8,-0.522812072,8,2012,Before
27053,Minnesota,Hennepin,0.0874550819,52,-0.16453310300000001,30,2012,Before
27069,Minnesota,Kittson,NA,NA,NA,NA,2012,Before
27077,Minnesota,Lake of the Woods,NA,NA,NA,NA,2012,Before
27123,Minnesota,Ramsey,0.384503252,61,0.2955956559,69,2012,Before
27125,Minnesota,Red Lake,-0.251700445,37,0.3875313464,74,2012,Before
27003,Minnesota,Anoka,-0.05204755,47,0.0101751466,51,2013,Before
27011,Minnesota,Big Stone,0.2773907607,63,-0.443514472,8,2013,Before
27037,Minnesota,Dakota,-0.578663181,15,-0.589851208,6,2013,Before
27053,Minnesota,Hennepin,0.1239219752,55,-0.213829092,25,2013,Before
27069,Minnesota,Kittson,-0.251134897,32,-0.163919627,30,2013,Before
27077,Minnesota,Lake of the Woods,-0.477626564,19,0.1671293657,65,2013,Before
27123,Minnesota,Ramsey,0.3419788544,65,0.2071773307,69,2013,Before
27125,Minnesota,Red Lake,-0.590208513,14,-0.004132016,49,2013,Before
27003,Minnesota,Anoka,-0.08219058,41,-0.093957061,40,2014,Before
27011,Minnesota,Big Stone,0.3715479041,66,-0.058437063,42,2014,Before
27037,Minnesota,Dakota,-0.611473796,14,-0.559769179,7,2014,Before
27053,Minnesota,Hennepin,0.0848726361,54,-0.199336461,27,2014,Before
27069,Minnesota,Kittson,-0.251134897,34,-0.09713944,39,2014,Before
27077,Minnesota,Lake of the Woods,-0.347670684,27,0.1285648667,59,2014,Before
27123,Minnesota,Ramsey,0.3740734038,67,0.1269131304,58,2014,Before
27125,Minnesota,Red Lake,-0.317131848,31,0.1553976455,62,2014,Before
27003,Minnesota,Anoka,-0.007435849,48,-0.17984811,31,2015,After
27011,Minnesota,Big Stone,-0.074786609,44,-0.280511058,20,2015,After
27037,Minnesota,Dakota,-0.522264766,19,-0.554147457,6,2015,After
27053,Minnesota,Hennepin,-0.037547966,46,-0.20154943,28,2015,After
27069,Minnesota,Kittson,-0.147769915,42,-0.097848151,41,2015,After
27077,Minnesota,Lake of the Woods,-0.597065825,16,0.1838243577,65,2015,After
27123,Minnesota,Ramsey,0.3140333338,63,0.0988592395,58,2015,After
27125,Minnesota,Red Lake,-0.176991537,40,0.299996141,74,2015,After
27003,Minnesota,Anoka,-0.278326536,40,-0.127524062,39,2016,After
27011,Minnesota,Big Stone,-0.398116071,33,-0.199756718,30,2016,After
27037,Minnesota,Dakota,-0.756152299,11,-0.613258123,6,2016,After
27053,Minnesota,Hennepin,-0.134764917,44,-0.261183322,25,2016,After
27069,Minnesota,Kittson,-0.481599298,30,-0.039656887,46,2016,After
27077,Minnesota,Lake of the Woods,-0.865003605,7,0.0612704001,53,2016,After
27123,Minnesota,Ramsey,0.4212067923,66,0.1197879761,58,2016,After
27125,Minnesota,Red Lake,-0.570026605,20,0.2282595847,68,2016,After
27003,Minnesota,Anoka,-0.310376136,31,-0.06190136,46,2017,After
27011,Minnesota,Big Stone,-0.314764177,30,-0.272949699,22,2017,After
27037,Minnesota,Dakota,-0.723183922,12,-0.595824867,5,2017,After
27053,Minnesota,Hennepin,-0.259258291,38,-0.239033817,24,2017,After
27069,Minnesota,Kittson,0.1314988305,57,-0.13142596,38,2017,After
27077,Minnesota,Lake of the Woods,-0.237695901,40,0.3483902881,73,2017,After
27123,Minnesota,Ramsey,0.2774800267,64,0.1824341315,65,2017,After
27125,Minnesota,Red Lake,-1.239592951,3,0.1028126219,59,2017,After
27003,Minnesota,Anoka,-0.530800755,20,-0.199633474,26,2018,After
27011,Minnesota,Big Stone,-0.106937129,40,-0.13340314,37,2018,After
27037,Minnesota,Dakota,-0.623412207,18,-0.475184958,8,2018,After
27053,Minnesota,Hennepin,-0.177870774,37,-0.245784286,21,2018,After
27069,Minnesota,Kittson,-0.065398481,42,-0.070151356,42,2018,After
27077,Minnesota,Lake of the Woods,-0.038113327,47,0.2836629986,71,2018,After
27123,Minnesota,Ramsey,0.3191606665,68,0.0444953088,54,2018,After
27125,Minnesota,Red Lake,-0.895503813,9,0.2735839734,70,2018,After
27003,Minnesota,Anoka,-0.501561468,23,-0.152214945,31,2019,After
27011,Minnesota,Big Stone,-0.397532431,27,-0.066132185,44,2019,After
27037,Minnesota,Dakota,-0.558841219,21,-0.554464626,7,2019,After
27053,Minnesota,Hennepin,-0.182459549,41,-0.246756897,27,2019,After
27069,Minnesota,Kittson,-0.37473426,29,-0.067005284,42,2019,After
27077,Minnesota,Lake of the Woods,-0.038113327,49,0.2048421892,66,2019,After
27123,Minnesota,Ramsey,0.310378422,64,0.0687895494,54,2019,After
27125,Minnesota,Red Lake,-0.046154479,48,0.2537976726,70,2019,After
27003,Minnesota,Anoka,-0.221448508,36,-0.16814839,30,2020,After
27011,Minnesota,Big Stone,0.0961078351,57,0.0266560079,50,2020,After
27037,Minnesota,Dakota,-0.661967904,14,-0.435385988,13,2020,After
27053,Minnesota,Hennepin,-0.365557075,30,-0.256102516,23,2020,After
27069,Minnesota,Kittson,-0.323002241,33,-0.049098995,43,2020,After
27077,Minnesota,Lake of the Woods,0.0126831039,51,0.0423488346,51,2020,After
27123,Minnesota,Ramsey,0.4703174705,68,0.1379731551,61,2020,After
27125,Minnesota,Red Lake,-0.637468038,16,0.3029919168,72,2020,After
27003,Minnesota,Anoka,-0.29275861,29,-0.25702904,25,2021,After
27011,Minnesota,Big Stone,0.3047860401,65,0.0857351137,54,2021,After
27037,Minnesota,Dakota,-0.733506074,9,-0.735200302,5,2021,After
27053,Minnesota,Hennepin,-0.269600564,33,-0.450240301,13,2021,After
27069,Minnesota,Kittson,-0.351388496,24,-0.028713596,43,2021,After
27077,Minnesota,Lake of the Woods,-0.313567573,25,0.0716096801,52,2021,After
27123,Minnesota,Ramsey,0.1624201548,62,-0.077851016,36,2021,After
27125,Minnesota,Red Lake,-0.020135374,51,0.2053254599,63,2021,After
27003,Minnesota,Anoka,-0.5573767,15,-0.258745458,20,2022,After
27011,Minnesota,Big Stone,0.3196895545,66,-0.065216191,40,2022,After
27037,Minnesota,Dakota,-0.97508107,6,-0.622587579,7,2022,After
