,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,-0.18,36,-0.20,17,-0.17,13,0.12,75,0.41,80,0.08,83
27003,Minnesota,Anoka,-0.37,21,0.14,61,0.14,71,-0.06,25,-0.10,29,-0.05,16
27005,Minnesota,Becker,0.69,80,-0.04,38,0.17,78,-0.14,7,0.17,69,0.02,57
27007,Minnesota,Beltrami,1.28,84,-0.03,41,0.61,85,0.12,74,0.73,84,-0.01,39
27009,Minnesota,Benton,-0.08,45,0.38,80,-0.17,12,0.10,71,0.09,62,-0.04,20
27011,Minnesota,Big Stone,-0.11,43,0.00,45,-0.01,39,-0.01,39,-0.13,25,-0.02,28
27013,Minnesota,Blue Earth,-0.26,29,-0.07,31,0.03,51,0.01,44,-0.23,16,0.00,44
27015,Minnesota,Brown,-0.66,3,-0.39,8,0.01,43,-0.12,10,-0.15,21,-0.10,2
27017,Minnesota,Carlton,0.26,62,0.17,63,0.08,61,-0.08,19,0.00,48,0.03,63
27019,Minnesota,Carver,-0.78,1,-0.24,14,-0.25,6,-0.15,6,-0.44,2,-0.01,34
27021,Minnesota,Cass,1.23,83,0.21,68,0.19,79,0.13,76,0.57,82,0.00,40
27023,Minnesota,Chippewa,-0.54,11,0.00,46,0.11,68,0.02,48,-0.08,36,-0.01,33
27025,Minnesota,Chisago,0.19,57,0.20,65,0.14,72,-0.03,34,0.01,51,0.03,66
27027,Minnesota,Clay,0.33,66,0.19,64,0.01,44,-0.07,22,-0.20,18,0.01,53
27029,Minnesota,Clearwater,-0.27,28,-0.65,2,0.02,49,0.22,82,0.79,85,0.02,56
27031,Minnesota,Cook,,NR,,NR,,NR,,NR,,NR,,NR
27033,Minnesota,Cottonwood,0.67,79,0.08,55,-0.06,27,-0.10,14,-0.08,34,-0.03,26
27035,Minnesota,Crow Wing,0.03,51,0.41,82,0.01,47,0.03,56,0.12,66,0.11,84
27037,Minnesota,Dakota,-0.54,12,-0.07,33,-0.15,14,-0.09,18,-0.32,8,0.00,41
27039,Minnesota,Dodge,-0.01,47,-0.05,36,0.06,57,-0.03,32,-0.25,14,0.01,51
27041,Minnesota,Douglas,-0.45,16,-0.21,15,-0.08,22,-0.12,11,-0.19,20,-0.04,23
27043,Minnesota,Faribault,0.00,48,0.15,62,-0.03,37,0.03,54,0.11,65,0.01,55
27045,Minnesota,Fillmore,-0.49,14,-0.38,9,-0.03,34,0.07,65,-0.01,45,0.01,51
27047,Minnesota,Freeborn,0.11,54,0.37,79,0.19,80,-0.04,29,0.07,60,0.05,74
27049,Minnesota,Goodhue,-0.18,37,-0.01,42,0.28,83,-0.10,15,-0.15,22,0.03,67
27051,Minnesota,Grant,0.34,67,-0.10,27,-0.05,28,0.14,79,-0.02,42,0.04,68
27053,Minnesota,Hennepin,-0.17,39,0.24,70,-0.53,1,-0.16,4,0.06,59,-0.06,6
27055,Minnesota,Houston,-0.08,46,0.00,44,-0.10,19,-0.13,8,-0.14,24,0.07,78
27057,Minnesota,Hubbard,-0.21,35,-0.19,20,-0.01,41,-0.07,23,0.34,77,-0.04,18
27059,Minnesota,Isanti,-0.35,22,0.08,54,0.10,66,0.07,67,0.02,53,-0.02,30
27061,Minnesota,Itasca,0.25,60,0.01,48,0.16,76,-0.02,36,0.19,71,0.07,80
27063,Minnesota,Jackson,-0.61,5,-0.20,16,-0.08,21,0.02,52,-0.32,7,0.01,49
27065,Minnesota,Kanabec,0.25,61,0.27,74,0.08,62,0.05,59,0.47,81,0.05,73
27067,Minnesota,Kandiyohi,-0.15,40,-0.20,18,-0.09,20,-0.09,17,0.02,54,-0.02,31
27069,Minnesota,Kittson,0.00,49,0.25,73,0.08,63,0.06,62,-0.09,32,0.03,64
27071,Minnesota,Koochiching,0.45,71,-0.16,23,-0.05,30,0.01,45,0.32,75,0.02,59
27073,Minnesota,Lac qui Parle,-0.24,32,-0.91,1,-0.06,25,0.15,80,-0.20,19,-0.01,35
27075,Minnesota,Lake,0.57,76,0.65,83,-0.06,26,-0.07,21,0.05,57,0.07,79
27077,Minnesota,Lake of the Woods,0.20,59,0.34,75,0.08,64,0.22,83,0.21,73,-0.13,1
27079,Minnesota,Le Sueur,-0.50,13,-0.17,22,-0.08,23,0.07,66,0.09,63,-0.08,4
27081,Minnesota,Lincoln,-0.55,8,-0.08,30,-0.04,32,0.05,60,-0.10,31,-0.01,36
27083,Minnesota,Lyon,0.15,56,0.07,52,0.08,59,-0.02,35,-0.36,4,0.00,45
27085,Minnesota,McLeod,-0.45,17,-0.63,3,-0.11,18,-0.08,20,-0.03,41,-0.05,8
27087,Minnesota,Mahnomen,1.50,85,-0.40,7,0.23,81,-0.06,28,0.65,83,0.06,75
27089,Minnesota,Marshall,-0.72,2,-0.14,25,0.01,45,0.23,84,-0.05,39,0.02,61
27091,Minnesota,Martin,0.28,63,0.37,78,0.04,52,-0.06,26,-0.01,46,0.01,54
27093,Minnesota,Meeker,-0.25,31,-0.26,13,0.30,84,0.00,42,-0.04,40,-0.04,17
27095,Minnesota,Mille Lacs,0.53,75,-0.10,28,-0.03,35,0.06,61,0.38,79,0.14,85
27097,Minnesota,Morrison,0.32,65,0.78,85,0.27,82,0.02,49,0.29,74,-0.05,10
27099,Minnesota,Mower,-0.27,27,0.21,67,0.05,55,0.06,63,0.04,56,-0.01,37
27101,Minnesota,Murray,0.30,64,0.10,59,-0.21,8,0.13,77,-0.32,9,-0.05,11
27103,Minnesota,Nicollet,-0.43,19,0.07,51,-0.30,2,-0.10,13,-0.31,10,0.01,49
27105,Minnesota,Nobles,-0.17,38,-0.03,39,0.01,48,0.02,50,0.01,52,0.02,58
27107,Minnesota,Norman,0.92,81,0.36,77,0.04,54,0.00,43,-0.05,38,0.04,72
27109,Minnesota,Olmsted,-0.30,25,-0.26,12,-0.18,10,-0.42,1,-0.34,6,-0.04,19
27111,Minnesota,Otter Tail,-0.24,34,-0.12,26,0.03,50,-0.01,37,0.00,49,0.00,47
27113,Minnesota,Pennington,0.07,53,0.00,43,0.07,58,-0.16,5,0.03,55,-0.01,38
27115,Minnesota,Pine,0.47,72,-0.07,34,0.08,60,0.14,78,0.36,78,0.07,81
