,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.40,72,0.21,70,-0.08,23,0.09,73,0.29,78,0.06,80
27003,Minnesota,Anoka,-0.34,21,0.29,76,0.08,67,-0.02,39,-0.08,37,0.04,72
27005,Minnesota,Becker,0.86,83,-0.28,17,0.05,56,0.00,47,0.11,63,0.01,55
27007,Minnesota,Beltrami,0.63,81,0.03,51,0.54,87,0.06,69,0.64,84,-0.03,24
27009,Minnesota,Benton,-0.17,39,0.48,83,-0.13,14,0.04,60,0.01,56,0.04,74
27011,Minnesota,Big Stone,0.31,68,-0.03,41,-0.29,3,0.03,52,-0.12,30,-0.06,8
27013,Minnesota,Blue Earth,-0.22,33,-0.12,33,0.06,61,0.06,68,-0.13,27,0.05,77
27015,Minnesota,Brown,-0.11,44,-0.36,7,0.11,74,-0.10,14,-0.15,24,-0.01,34
27017,Minnesota,Carlton,0.58,79,0.10,56,-0.05,32,-0.02,37,0.03,59,-0.04,16
27019,Minnesota,Carver,-0.74,2,-0.21,23,-0.19,6,-0.15,7,-0.45,1,-0.01,35
27021,Minnesota,Cass,0.99,84,0.61,85,0.10,71,0.15,78,0.66,85,-0.03,26
27023,Minnesota,Chippewa,-0.33,23,0.13,61,0.14,80,-0.07,22,0.00,53,0.00,46
27025,Minnesota,Chisago,-0.38,18,0.16,65,0.09,70,-0.01,40,-0.10,33,-0.01,38
27027,Minnesota,Clay,-0.21,35,0.11,58,0.03,51,-0.07,23,-0.11,31,0.00,50
27029,Minnesota,Clearwater,0.57,78,-0.19,26,0.09,69,0.39,87,0.71,86,0.00,48
27031,Minnesota,Cook,-0.29,28,-0.01,45,-0.06,28,-0.10,13,0.05,60,-0.12,1
27033,Minnesota,Cottonwood,0.21,64,0.41,82,-0.03,36,-0.09,17,-0.02,49,0.07,83
27035,Minnesota,Crow Wing,-0.32,26,0.33,80,-0.10,18,-0.03,34,0.14,66,-0.05,12
27037,Minnesota,Dakota,-0.57,5,-0.01,44,-0.15,8,-0.16,4,-0.30,7,0.02,58
27039,Minnesota,Dodge,-0.38,16,-0.37,6,0.20,83,-0.05,29,-0.24,15,0.02,60
27041,Minnesota,Douglas,-0.23,31,-0.09,38,0.05,57,-0.15,6,-0.23,16,-0.01,37
27043,Minnesota,Faribault,-0.28,29,0.14,63,0.06,62,0.04,59,0.14,65,0.00,45
27045,Minnesota,Fillmore,-0.21,36,-0.26,18,-0.01,40,-0.03,33,-0.07,39,0.01,52
27047,Minnesota,Freeborn,-0.23,32,0.59,84,0.12,78,-0.02,36,0.19,71,0.06,78
27049,Minnesota,Goodhue,0.17,63,-0.03,43,0.08,68,-0.10,15,-0.19,19,0.01,51
27051,Minnesota,Grant,0.62,80,-0.28,15,-0.05,31,0.12,76,-0.07,40,0.07,84
27053,Minnesota,Hennepin,-0.15,40,0.28,74,-0.29,4,-0.13,9,0.20,73,0.01,54
27055,Minnesota,Houston,0.01,52,-0.32,9,-0.06,27,-0.16,5,-0.07,42,-0.04,14
27057,Minnesota,Hubbard,0.12,59,-0.03,42,-0.07,25,0.03,54,0.28,77,-0.07,4
27059,Minnesota,Isanti,-0.38,15,0.29,75,0.11,77,0.04,58,0.02,58,-0.04,21
27061,Minnesota,Itasca,0.30,67,0.09,55,0.06,60,-0.08,20,0.20,72,-0.04,22
27063,Minnesota,Jackson,-0.21,34,0.25,72,-0.03,38,0.00,50,-0.29,10,-0.02,27
27065,Minnesota,Kanabec,0.08,57,-0.13,32,0.06,59,-0.01,44,0.48,83,-0.06,5
27067,Minnesota,Kandiyohi,-0.34,22,-0.26,19,0.11,75,-0.17,3,0.12,64,0.01,57
27069,Minnesota,Kittson,-0.25,30,0.00,47,-0.05,30,0.09,71,-0.18,20,-0.02,28
27071,Minnesota,Koochiching,-0.07,47,-0.04,40,0.03,49,0.00,49,0.24,76,-0.05,11
27073,Minnesota,Lac qui Parle,0.17,62,-0.43,2,0.04,52,-0.01,43,-0.29,9,-0.03,25
27075,Minnesota,Lake,0.02,53,0.96,87,0.06,63,-0.09,19,-0.09,34,-0.08,2
27077,Minnesota,Lake of the Woods,-0.35,20,-0.13,31,0.01,44,0.25,86,-0.04,46,-0.06,6
27079,Minnesota,Le Sueur,-0.38,17,-0.23,21,-0.06,29,0.04,57,0.02,57,-0.08,3
27081,Minnesota,Lincoln,-0.15,41,-0.19,25,-0.04,33,-0.03,32,-0.28,11,0.11,86
27083,Minnesota,Lyon,0.01,51,-0.24,20,0.10,73,-0.06,26,-0.13,26,0.02,63
27085,Minnesota,McLeod,-0.38,14,-0.33,8,-0.12,15,-0.06,27,-0.06,43,-0.01,42
27087,Minnesota,Mahnomen,1.50,87,-0.29,11,0.33,85,0.18,84,0.73,87,0.05,75
27089,Minnesota,Marshall,0.08,58,-0.29,13,-0.09,21,0.16,80,-0.02,47,-0.01,44
27091,Minnesota,Martin,0.13,61,0.03,52,-0.03,35,0.01,51,-0.05,44,0.05,76
27093,Minnesota,Meeker,0.00,50,-0.29,14,0.08,66,0.05,63,-0.05,45,-0.02,30
27095,Minnesota,Mille Lacs,1.11,85,0.07,54,0.03,50,0.11,75,0.39,80,-0.05,10
27097,Minnesota,Morrison,0.12,60,0.76,86,0.11,76,0.04,62,0.17,68,0.00,47
27099,Minnesota,Mower,-0.37,19,0.30,78,0.03,48,0.06,67,0.16,67,0.03,67
27101,Minnesota,Murray,-0.11,45,0.18,68,0.10,72,0.03,53,-0.31,5,-0.05,13
27103,Minnesota,Nicollet,-0.46,10,-0.11,35,-0.35,2,-0.05,28,-0.24,14,0.04,73
27105,Minnesota,Nobles,-0.53,7,-0.11,34,-0.07,26,0.05,65,0.19,70,0.02,64
27107,Minnesota,Norman,0.03,54,0.24,71,0.12,79,0.10,74,-0.02,48,0.00,49
27109,Minnesota,Olmsted,-0.32,25,-0.16,27,-0.14,12,-0.38,1,-0.25,13,0.02,66
27111,Minnesota,Otter Tail,-0.20,37,0.01,49,0.07,65,-0.07,24,-0.07,41,-0.04,20
27113,Minnesota,Pennington,0.26,66,0.30,79,0.06,58,-0.09,18,-0.02,50,-0.04,17
