,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.33,66,0.33,75,-0.04,35,0.10,68,0.38,80,-0.01,36
27003,Minnesota,Anoka,-0.34,25,0.06,54,-0.03,43,0.01,46,-0.18,17,0.08,84
27005,Minnesota,Becker,0.61,78,0.04,53,0.17,80,0.04,57,0.05,58,0.02,58
27007,Minnesota,Beltrami,1.24,86,0.69,85,0.36,86,0.16,81,0.45,82,0.02,56
27009,Minnesota,Benton,0.08,51,0.09,56,0.13,70,0.13,75,-0.04,42,0.03,62
27011,Minnesota,Big Stone,-0.07,45,-0.33,11,-0.11,18,0.05,60,-0.10,33,-0.03,23
27013,Minnesota,Blue Earth,-0.44,11,0.29,73,0.18,81,-0.18,3,-0.16,22,0.07,83
27015,Minnesota,Brown,-0.22,38,-0.29,18,-0.19,8,-0.15,7,-0.14,26,0.04,69
27017,Minnesota,Carlton,0.30,64,-0.02,48,0.21,82,-0.03,35,0.03,55,-0.02,27
27019,Minnesota,Carver,-0.89,2,-0.58,2,-0.42,1,-0.14,11,-0.49,1,0.07,82
27021,Minnesota,Cass,0.81,84,0.90,86,0.12,69,0.25,87,0.60,85,-0.01,31
27023,Minnesota,Chippewa,0.71,82,-0.09,40,0.03,57,0.09,67,0.06,59,0.03,68
27025,Minnesota,Chisago,-0.34,24,-0.15,37,-0.01,47,-0.10,17,-0.16,21,0.09,87
27027,Minnesota,Clay,0.09,53,0.19,67,-0.05,33,-0.08,23,-0.18,18,-0.04,15
27029,Minnesota,Clearwater,0.94,85,0.59,84,0.36,85,0.18,83,0.69,87,0.02,53
27031,Minnesota,Cook,0.58,77,0.31,74,-0.06,26,0.04,58,0.08,62,-0.12,2
27033,Minnesota,Cottonwood,0.19,59,0.13,59,0.06,60,-0.05,28,0.01,51,-0.04,16
27035,Minnesota,Crow Wing,0.19,60,0.01,50,0.09,66,0.01,45,0.08,63,0.00,40
27037,Minnesota,Dakota,-0.55,6,-0.21,31,-0.27,5,-0.13,12,-0.27,9,0.06,79
27039,Minnesota,Dodge,-0.39,18,-0.33,12,-0.08,23,-0.04,33,-0.25,10,-0.02,30
27041,Minnesota,Douglas,-0.43,13,-0.20,32,-0.15,14,-0.08,22,-0.23,11,0.03,63
27043,Minnesota,Faribault,0.03,49,0.09,57,-0.15,11,0.01,47,0.16,70,-0.01,38
27045,Minnesota,Fillmore,-0.52,7,-0.27,22,-0.15,13,-0.03,36,-0.08,35,0.00,41
27047,Minnesota,Freeborn,-0.21,39,0.17,64,0.13,71,-0.04,30,0.17,72,0.03,66
27049,Minnesota,Goodhue,-0.40,17,-0.24,26,0.07,61,-0.09,19,-0.11,30,-0.01,35
27051,Minnesota,Grant,0.12,55,-0.06,44,-0.02,46,0.10,69,-0.06,39,0.04,70
27053,Minnesota,Hennepin,-0.31,29,0.18,65,-0.26,6,-0.14,8,0.09,64,0.05,73
27055,Minnesota,Houston,-0.97,1,-0.03,47,-0.21,7,-0.14,9,0.05,57,0.01,47
27057,Minnesota,Hubbard,0.05,50,0.20,69,0.01,53,0.02,51,0.26,77,-0.02,28
27059,Minnesota,Isanti,-0.23,36,-0.15,36,-0.01,48,-0.14,10,-0.01,48,0.03,64
27061,Minnesota,Itasca,0.52,75,0.24,70,0.17,79,0.00,44,0.28,79,0.02,57
27063,Minnesota,Jackson,0.45,71,0.49,79,-0.07,25,-0.05,29,-0.19,14,-0.01,34
27065,Minnesota,Kanabec,0.09,52,0.07,55,0.05,59,0.06,63,0.40,81,0.03,65
27067,Minnesota,Kandiyohi,-0.37,21,-0.05,45,-0.03,44,-0.13,14,0.10,68,0.09,86
27069,Minnesota,Kittson,-0.22,37,-0.26,23,0.03,56,0.18,82,-0.10,32,-0.15,1
27071,Minnesota,Koochiching,0.66,81,0.25,71,0.01,51,0.16,80,0.50,84,-0.03,21
27073,Minnesota,Lac qui Parle,0.21,61,-0.75,1,-0.07,24,0.07,64,-0.08,34,-0.06,7
27075,Minnesota,Lake,0.46,72,0.49,80,-0.11,19,-0.09,20,-0.03,43,-0.09,3
27077,Minnesota,Lake of the Woods,-0.45,10,-0.41,5,-0.05,30,0.22,85,-0.07,38,-0.04,17
27079,Minnesota,Le Sueur,-0.29,30,-0.27,21,0.03,58,-0.04,32,-0.11,28,0.02,55
27081,Minnesota,Lincoln,0.29,63,-0.32,14,-0.06,27,-0.03,37,-0.19,15,-0.05,11
27083,Minnesota,Lyon,-0.21,41,0.20,68,-0.09,22,-0.09,18,-0.08,36,-0.01,37
27085,Minnesota,McLeod,-0.33,26,-0.41,6,0.01,52,0.01,48,-0.17,19,0.02,54
27087,Minnesota,Mahnomen,1.50,87,1.22,87,0.48,87,0.20,84,0.68,86,-0.02,29
27089,Minnesota,Marshall,-0.41,15,-0.08,41,0.00,50,0.13,76,-0.01,49,-0.04,18
27091,Minnesota,Martin,-0.12,43,0.14,60,0.10,68,-0.02,38,0.09,65,0.01,44
27093,Minnesota,Meeker,-0.28,31,-0.21,30,-0.05,31,0.00,43,-0.13,27,0.04,71
27095,Minnesota,Mille Lacs,0.56,76,0.25,72,0.32,84,0.10,70,0.26,76,0.03,61
27097,Minnesota,Morrison,0.27,62,0.10,58,0.09,65,0.04,55,0.13,69,0.05,77
27099,Minnesota,Mower,-0.25,33,0.36,76,0.16,76,0.12,73,0.16,71,0.06,80
27101,Minnesota,Murray,0.39,70,-0.22,29,-0.11,17,0.02,50,-0.16,23,0.03,59
27103,Minnesota,Nicollet,-0.39,20,-0.34,9,-0.05,29,-0.16,5,-0.38,4,-0.02,26
27105,Minnesota,Nobles,-0.33,27,0.16,63,0.10,67,0.11,71,0.10,67,-0.04,19
27107,Minnesota,Norman,0.79,83,0.54,82,0.14,72,-0.03,34,0.06,60,-0.06,9
27109,Minnesota,Olmsted,-0.49,8,-0.31,15,-0.31,3,-0.41,1,-0.22,13,-0.06,10
27111,Minnesota,Otter Tail,0.31,65,-0.24,24,-0.17,9,-0.02,39,-0.02,45,0.03,60
27113,Minnesota,Pennington,0.38,69,0.14,62,-0.03,42,-0.15,6,-0.03,44,-0.05,12
27115,Minnesota,Pine,0.49,74,0.58,83,0.23,83,0.15,78,0.46,83,0.05,76
