,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
27000,Minnesota,,,,,,,,,,,,,
27001,Minnesota,Aitkin,0.38,78,0.06,55,0.17,78,0.14,79,0.46,84,0.00,43
27003,Minnesota,Anoka,-0.23,25,-0.19,28,-0.21,9,-0.02,41,-0.20,20,0.02,57
27005,Minnesota,Becker,0.36,76,0.11,61,0.14,72,-0.03,36,0.02,52,0.04,73
27007,Minnesota,Beltrami,1.21,86,0.51,82,0.40,86,0.02,54,0.34,78,0.01,51
27009,Minnesota,Benton,-0.12,40,0.10,58,0.05,52,-0.01,46,0.04,55,0.03,65
27011,Minnesota,Big Stone,0.00,47,0.42,77,0.08,58,-0.16,3,0.13,65,-0.04,19
27013,Minnesota,Blue Earth,-0.22,27,0.29,70,-0.09,23,-0.15,6,-0.18,21,0.04,72
27015,Minnesota,Brown,-0.11,41,-0.19,30,-0.06,31,-0.15,5,-0.18,22,-0.03,25
27017,Minnesota,Carlton,-0.06,42,0.20,65,0.10,67,0.12,77,0.07,60,-0.07,5
27019,Minnesota,Carver,-0.78,1,-0.83,1,-0.54,1,-0.13,10,-0.54,1,-0.01,42
27021,Minnesota,Cass,1.15,85,0.34,72,0.15,74,0.15,80,0.36,79,-0.06,9
27023,Minnesota,Chippewa,0.20,66,0.04,52,0.14,73,-0.03,39,0.00,50,-0.02,31
27025,Minnesota,Chisago,-0.42,9,-0.03,41,-0.16,12,-0.05,28,-0.18,23,0.08,84
27027,Minnesota,Clay,-0.19,34,0.16,62,0.03,50,-0.04,30,-0.20,19,0.08,83
27029,Minnesota,Clearwater,0.61,83,0.02,49,0.30,85,0.20,83,0.76,86,0.01,50
27031,Minnesota,Cook,0.00,47,0.11,60,-0.16,11,0.18,82,0.05,56,-0.06,7
27033,Minnesota,Cottonwood,-0.01,45,0.28,69,0.06,53,-0.03,35,0.06,58,-0.02,29
27035,Minnesota,Crow Wing,0.03,57,-0.25,21,0.07,55,-0.08,18,0.09,63,-0.05,11
27037,Minnesota,Dakota,-0.49,7,-0.31,14,-0.36,5,-0.09,16,-0.31,8,0.06,80
27039,Minnesota,Dodge,-0.18,36,-0.56,4,-0.15,13,-0.03,37,-0.30,9,-0.01,41
27041,Minnesota,Douglas,-0.18,35,-0.21,26,-0.12,17,-0.24,2,-0.30,10,-0.01,39
27043,Minnesota,Faribault,0.47,81,0.10,59,0.07,56,-0.03,38,0.08,62,0.01,54
27045,Minnesota,Fillmore,-0.14,39,-0.28,18,-0.01,43,0.03,57,-0.05,42,0.04,68
27047,Minnesota,Freeborn,-0.20,30,0.25,68,0.08,60,0.01,52,0.20,71,0.08,85
27049,Minnesota,Goodhue,0.08,58,-0.19,29,-0.11,19,-0.01,45,-0.14,28,0.06,79
27051,Minnesota,Grant,0.32,74,0.43,78,0.06,54,0.00,49,-0.09,35,0.04,70
27053,Minnesota,Hennepin,-0.21,28,-0.05,40,-0.38,3,-0.14,8,-0.10,32,0.02,58
27055,Minnesota,Houston,-0.51,5,-0.43,9,-0.18,10,-0.10,14,-0.30,11,0.04,69
27057,Minnesota,Hubbard,0.18,65,-0.09,37,-0.01,45,0.06,68,0.08,61,-0.02,26
27059,Minnesota,Isanti,0.01,56,-0.01,44,-0.05,34,-0.04,33,0.06,59,0.04,71
27061,Minnesota,Itasca,0.40,80,0.44,79,0.09,61,0.06,66,0.25,74,-0.01,36
27063,Minnesota,Jackson,-0.41,12,0.01,47,-0.01,44,0.00,50,-0.14,27,-0.04,14
27065,Minnesota,Kanabec,0.11,61,0.19,63,0.15,75,0.10,73,0.43,83,-0.01,35
27067,Minnesota,Kandiyohi,-0.22,26,-0.18,31,-0.05,33,-0.10,15,0.05,57,0.07,82
27069,Minnesota,Kittson,0.00,47,-0.44,8,0.04,51,-0.04,29,-0.28,14,-0.09,1
27071,Minnesota,Koochiching,0.33,75,0.30,71,0.03,49,0.29,87,0.30,76,-0.08,2
27073,Minnesota,Lac qui Parle,-0.19,32,-0.29,17,-0.01,42,0.01,53,-0.14,29,-0.08,3
27075,Minnesota,Lake,-0.28,23,-0.24,23,-0.02,40,0.09,71,-0.04,43,-0.06,10
27077,Minnesota,Lake of the Woods,0.00,47,-0.47,7,-0.05,35,0.13,78,-0.07,39,-0.02,28
27079,Minnesota,Le Sueur,-0.33,20,-0.22,25,-0.06,30,0.02,55,-0.09,34,0.04,67
27081,Minnesota,Lincoln,0.29,72,-0.31,15,-0.07,28,0.05,62,-0.10,33,-0.07,4
27083,Minnesota,Lyon,-0.21,29,-0.23,24,0.01,47,-0.04,32,-0.21,17,-0.02,30
27085,Minnesota,McLeod,-0.42,10,0.01,48,0.00,46,0.03,59,-0.17,24,0.01,49
27087,Minnesota,Mahnomen,1.50,87,1.26,87,0.62,87,0.21,84,1.05,87,-0.02,32
27089,Minnesota,Marshall,0.08,59,-0.14,34,-0.02,41,0.06,69,0.03,53,-0.03,22
27091,Minnesota,Martin,-0.26,24,-0.05,39,0.09,63,-0.06,21,-0.05,41,0.00,44
27093,Minnesota,Meeker,-0.45,8,-0.26,20,-0.04,36,0.12,76,-0.15,25,0.07,81
27095,Minnesota,Mille Lacs,0.99,84,0.46,80,0.25,82,0.17,81,0.50,85,0.01,52
27097,Minnesota,Morrison,0.13,62,-0.07,38,0.10,68,0.00,48,0.18,69,-0.01,38
27099,Minnesota,Mower,0.00,55,0.50,81,0.07,57,0.05,64,0.14,67,0.02,62
27101,Minnesota,Murray,-0.35,18,-0.02,42,-0.06,29,0.06,70,-0.03,45,-0.04,15
27103,Minnesota,Nicollet,-0.54,3,-0.27,19,-0.14,14,-0.15,7,-0.29,13,0.02,63
27105,Minnesota,Nobles,0.15,63,0.36,75,0.26,83,0.05,63,0.36,80,-0.04,16
27107,Minnesota,Norman,0.21,68,0.64,86,0.15,76,0.03,58,0.33,77,-0.03,21
27109,Minnesota,Olmsted,-0.39,14,-0.41,10,-0.37,4,-0.31,1,-0.32,7,-0.02,27
27111,Minnesota,Otter Tail,0.00,53,-0.29,16,-0.12,16,-0.05,24,-0.08,37,0.05,75
27113,Minnesota,Pennington,0.00,54,-0.09,36,-0.09,24,-0.14,9,-0.02,46,-0.03,23
